what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322460655968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460658987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460663510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322460664120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460665780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460670288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322460670887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460671785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460676022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322460677302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322460678697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460679504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460684231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322460684801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322460686529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460687440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460696738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322460703916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460704763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460709212
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1322460710952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322460723733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460724852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322460734700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322460735934
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1322460790842
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1322460790843
